按爽智能,存活1年8个月,2018/4/1,2019/12/17,医疗健康,广东,已被收购
臻宿,存活2年2个月,2017/10/1,2019/12/17,旅游,北京,天使轮
一签通,存活2年9个月,2017/3/1,2019/12/17,企业服务,北京,A轮
暴友网络,存活6年4个月,2013/8/1,2019/12/17,游戏,上海,尚未获投
一起捕鱼网,存活8年6个月,2011/6/1,2019/12/17,游戏,上海,尚未获投
典道猎聘,存活4年4个月,2015/8/1,2019/12/17,企业服务,湖南,不明确
霸途投资,存活4年4个月,2015/8/1,2019/12/17,金融,江苏,不明确
云家汇,存活4年1个月,2015/11/1,2019/12/17,电子商务,浙江,尚未获投
新资邦,存活3年10个月,2016/2/1,2019/12/17,企业服务,浙江,尚未获投
Maxense迈森思科技,存活6年0个月,2013/12/1,2019/12/17,新工业,北京,尚未获投
爱布斯移动应用,存活8年7个月,2011/5/1,2019/12/17,企业服务,广东,不明确
火鸟游戏,存活3年3个月,2016/9/1,2019/12/17,游戏,浙江,尚未获投
酷漫网,存活1年11个月,2018/1/1,2019/12/17,文娱传媒,浙江,尚未获投
安盛金融,存活5年3个月,2014/9/1,2019/12/17,金融,广东,不明确
旅朋友大数据,存活0年10个月,2019/2/1,2019/12/17,社交网络,陕西,尚未获投
鲜花说,存活4年7个月,2015/5/1,2019/12/17,电子商务,广东,A轮
快拍拖,存活11年8个月,2008/4/1,2019/12/17,社交网络,辽宁,尚未获投
浩数科技,存活3年9个月,2016/3/1,2019/12/17,企业服务,上海,天使轮
深圳软航科技,存活9年2个月,2010/10/1,2019/12/17,企业服务,广东,不明确
傲林软件,存活7年0个月,2012/12/1,2019/12/16,工具软件,上海,不明确
一号房,存活9年11个月,2010/1/1,2019/12/16,房产服务,上海,天使轮
云汇创网络,存活1年9个月,2018/3/1,2019/12/16,企业服务,福建,尚未获投
G链,存活2年9个月,2017/3/1,2019/12/16,游戏,广东,尚未获投
找找,存活3年10个月,2016/2/1,2019/12/16,电子商务,北京,尚未获投
纯美汇,存活4年5个月,2015/7/1,2019/12/16,电子商务,广东,不明确
一游网络,存活7年0个月,2012/12/1,2019/12/16,企业服务,四川,不明确
金福猫,存活5年0个月,2014/12/1,2019/12/16,金融,浙江,尚未获投
阿姨在线,存活6年0个月,2013/12/1,2019/12/16,本地生活,湖北,不明确
幸福9号商城,存活5年9个月,2014/3/1,2019/12/16,本地生活,上海,B轮
卡猫,存活2年8个月,2017/4/1,2019/12/16,金融,福建,尚未获投
医平方,存活7年9个月,2012/3/1,2019/12/16,医疗健康,北京,尚未获投
搜虎科技,存活7年9个月,2012/3/1,2019/12/16,企业服务,广东,尚未获投
爆米兔,存活4年9个月,2015/3/1,2019/12/13,企业服务,北京,不明确
飚汗科技,存活6年2个月,2013/10/1,2019/12/13,体育运动,广东,尚未获投
精鹰传媒,存活12年6个月,2007/6/1,2019/12/13,文娱传媒,广东,不明确
微金聚融,存活4年2个月,2015/10/1,2019/12/13,企业服务,北京,天使轮
至远科技,存活4年8个月,2015/4/1,2019/12/13,教育,北京,不明确
迅思科技,存活5年3个月,2014/9/1,2019/12/13,教育,北京,天使轮
云林信息,存活4年5个月,2015/7/1,2019/12/13,企业服务,云南,不明确
娇美肤,存活2年8个月,2017/4/1,2019/12/13,本地生活,北京,尚未获投
爱扮,存活1年6个月,2018/6/1,2019/12/13,社交网络,浙江,尚未获投
超爱送,存活4年6个月,2015/6/1,2019/12/13,电子商务,重庆,尚未获投
心鹿传媒,存活1年1个月,2018/11/1,2019/12/13,文娱传媒,湖北,尚未获投
书友小说,存活1年11个月,2018/1/1,2019/12/13,文娱传媒,福建,尚未获投
倍倍利,存活4年7个月,2015/5/1,2019/12/13,金融,重庆,尚未获投
拍财富,存活4年1个月,2015/11/1,2019/12/13,金融,上海,尚未获投
盟享加,存活2年7个月,2017/5/1,2019/12/13,企业服务,北京,尚未获投
17Beauty,存活2年1个月,2017/11/1,2019/12/13,本地生活,北京,天使轮
北京易企创,存活2年6个月,2017/6/1,2019/12/12,企业服务,北京,尚未获投
LEYOO乐游互联,存活5年6个月,2014/6/1,2019/12/12,游戏,山东,尚未获投
呆小二,存活0年10个月,2019/2/1,2019/12/12,金融,安徽,尚未获投
恒企信息,存活7年1个月,2012/11/1,2019/12/12,企业服务,上海,天使轮
厨神驾到,存活5年3个月,2014/9/1,2019/12/12,本地生活,辽宁,尚未获投
卫济堂,存活4年3个月,2015/9/1,2019/12/12,医疗健康,北京,不明确
数航学院,存活3年10个月,2016/2/1,2019/12/12,教育,北京,不明确
粉圈,存活4年10个月,2015/2/1,2019/12/12,社交网络,上海,尚未获投
花生米借款,存活3年3个月,2016/9/1,2019/12/12,金融,上海,不明确
我厨生鲜,存活5年0个月,2014/12/1,2019/12/12,电子商务,上海,B轮
搭伴客,存活6年9个月,2013/3/1,2019/12/12,汽车交通,广东,天使轮
易科极智,存活2年11个月,2017/1/1,2019/12/12,企业服务,北京,尚未获投
友邻优课,存活4年0个月,2015/12/1,2019/12/12,教育,北京,A轮
借款360,存活2年5个月,2017/7/1,2019/12/12,金融,上海,尚未获投
琛冠体育,存活2年3个月,2017/9/1,2019/12/12,体育运动,上海,尚未获投
走哪住哪,存活4年11个月,2015/1/1,2019/12/12,房产服务,上海,尚未获投
云响网络,存活5年1个月,2014/11/1,2019/12/12,文娱传媒,北京,尚未获投
迈迈车,存活5年4个月,2014/8/1,2019/12/12,汽车交通,上海,A+轮
木窄木不,存活3年4个月,2016/8/1,2019/12/12,本地生活,广东,天使轮
尚菜网络,存活3年9个月,2016/3/1,2019/12/12,工具软件,陕西,不明确
创云方网络,存活4年11个月,2015/1/1,2019/12/12,智能硬件,广东,尚未获投
骏景通,存活12年8个月,2007/4/1,2019/12/11,企业服务,北京,尚未获投
麻辣诱惑,存活16年8个月,2003/4/1,2019/12/11,本地生活,北京,B+轮
约伴网,存活7年8个月,2012/4/1,2019/12/11,旅游,北京,战略投资
甘肃有迹,存活1年8个月,2018/4/1,2019/12/11,金融,甘肃,尚未获投
绿柚网络,存活5年4个月,2014/8/1,2019/12/11,游戏,上海,A轮
51APP手机游戏网,存活7年11个月,2012/1/1,2019/12/11,游戏,湖北,不明确
一彩票,存活6年8个月,2013/4/1,2019/12/11,工具软件,广东,A+轮
上海蓝燧,存活4年10个月,2015/2/1,2019/12/11,医疗健康,上海,尚未获投
缝志链,存活3年0个月,2016/12/1,2019/12/11,电子商务,广东,尚未获投
南瓜影视,存活3年0个月,2016/12/1,2019/12/11,工具软件,浙江,尚未获投
钱汇网络,存活3年0个月,2016/12/1,2019/12/11,金融,北京,不明确
益生所艾,存活3年4个月,2016/8/1,2019/12/11,医疗健康,上海,不明确
酵老师,存活4年8个月,2015/4/1,2019/12/11,医疗健康,广东,天使轮
商海谈,存活4年0个月,2015/12/1,2019/12/11,教育,北京,尚未获投
星物语,存活3年3个月,2016/9/1,2019/12/11,文娱传媒,北京,尚未获投
简繁家,存活4年6个月,2015/6/1,2019/12/11,房产服务,湖北,天使轮
拓荒牛,存活3年5个月,2016/7/1,2019/12/10,企业服务,山东,尚未获投
云何网,存活4年9个月,2015/3/1,2019/12/10,社交网络,浙江,不明确
蛋壳,存活5年11个月,2014/1/1,2019/12/10,社交网络,上海,不明确
猩安全,存活0年6个月,2019/6/1,2019/12/10,企业服务,北京,尚未获投
超体大数据,存活3年1个月,2016/11/1,2019/12/10,企业服务,广东,天使轮
至臻信息,存活7年0个月,2012/12/1,2019/12/10,企业服务,上海,尚未获投
知更鸟,存活2年6个月,2017/6/1,2019/12/10,旅游,广东,天使轮
大跑堂,存活2年7个月,2017/5/1,2019/12/10,本地生活,北京,尚未获投
安逸借,存活1年9个月,2018/3/1,2019/12/10,金融,江苏,尚未获投
超维时空,存活3年3个月,2016/9/1,2019/12/10,企业服务,北京,天使轮
七V,存活5年7个月,2014/5/1,2019/12/10,文娱传媒,广东,A+轮
果壳公寓,存活4年11个月,2015/1/1,2019/12/10,房产服务,河南,尚未获投
嘟嘟车惠,存活5年7个月,2014/5/1,2019/12/10,汽车交通,北京,尚未获投
食洗素,存活2年5个月,2017/7/1,2019/12/10,电子商务,天津,不明确
玩味即时捞,存活3年5个月,2016/7/1,2019/12/10,本地生活,四川,天使轮
小甜饼,存活1年7个月,2018/5/1,2019/12/10,文娱传媒,广东,尚未获投
国启教育,存活3年11个月,2016/1/1,2019/12/10,教育,北京,尚未获投
五彩时空,存活8年8个月,2011/4/1,2019/12/10,游戏,北京,不明确
i电动,存活4年2个月,2015/10/1,2019/12/10,汽车交通,北京,不明确
广州盛瑞,存活3年4个月,2016/8/1,2019/12/10,金融,广东,A轮
英雄软件,存活4年1个月,2015/11/1,2019/12/9,企业服务,广东,不明确
乐推云,存活10年3个月,2009/9/1,2019/12/9,广告营销,北京,尚未获投
炖图,存活2年2个月,2017/10/1,2019/12/9,文娱传媒,上海,尚未获投
中机物流,存活5年6个月,2014/6/1,2019/12/9,物流,吉林,尚未获投
乐于行,存活4年4个月,2015/8/1,2019/12/9,汽车交通,浙江,尚未获投
双子互娱,存活5年4个月,2014/8/1,2019/12/9,游戏,北京,天使轮
大热度,存活6年8个月,2013/4/1,2019/12/9,广告营销,北京,尚未获投
热度团,存活6年8个月,2013/4/1,2019/12/9,电子商务,北京,尚未获投
容言,存活1年6个月,2018/6/1,2019/12/9,企业服务,北京,尚未获投
91游戏,存活3年6个月,2016/6/1,2019/12/9,游戏,上海,不明确
复生兄弟,存活5年4个月,2014/8/1,2019/12/9,企业服务,北京,天使轮
淘集集,存活2年7个月,2017/5/1,2019/12/9,电子商务,上海,A轮
V秘,存活4年5个月,2015/7/1,2019/12/9,文娱传媒,北京,尚未获投
神气爸妈,存活3年5个月,2016/7/1,2019/12/9,教育,北京,尚未获投
安御传媒,存活7年1个月,2012/11/1,2019/12/9,游戏,上海,尚未获投
邦拓技术,存活7年8个月,2012/4/1,2019/12/9,新工业,江苏,不明确
桃李帮,存活5年9个月,2014/3/1,2019/12/9,教育,北京,不明确
三弟画饼,存活4年3个月,2015/9/1,2019/12/9,智能硬件,北京,A轮
子木慕凡,存活4年10个月,2015/2/1,2019/12/9,电子商务,北京,尚未获投
领先贷,存活5年0个月,2014/12/1,2019/12/9,金融,上海,尚未获投
分七运,存活1年10个月,2018/2/1,2019/12/9,物流,江苏,尚未获投
网游沃,存活6年4个月,2013/8/1,2019/12/9,游戏,广东,不明确
上海清居,存活4年3个月,2015/9/1,2019/12/7,电子商务,上海,不明确
袋鼠托教,存活4年7个月,2015/5/1,2019/12/6,教育,上海,天使轮
HeyBuddy黑八弟,存活3年3个月,2016/9/1,2019/12/6,本地生活,北京,尚未获投
信达方舟,存活9年0个月,2010/12/1,2019/12/6,医疗健康,北京,不明确
超级宿舍,存活3年7个月,2016/5/1,2019/12/6,社交网络,北京,种子轮
演驿传媒,存活5年8个月,2014/4/1,2019/12/6,文娱传媒,北京,不明确
邻厨,存活4年10个月,2015/2/1,2019/12/6,本地生活,上海,天使轮
车典,存活6年3个月,2013/9/1,2019/12/6,汽车交通,广东,不明确
FIRO,存活5年2个月,2014/10/1,2019/12/6,电子商务,广东,尚未获投
Greens稞悦,存活7年9个月,2012/3/1,2019/12/6,本地生活,上海,天使轮
仁达智联,存活5年3个月,2014/9/1,2019/12/6,企业服务,江苏,不明确
猴子精酿,存活4年3个月,2015/9/1,2019/12/6,本地生活,山东,天使轮
易达云科技,存活4年2个月,2015/10/1,2019/12/6,电子商务,广东,不明确
MAG校园,存活1年6个月,2018/6/1,2019/12/6,本地生活,江苏,尚未获投
中广嘉华,存活3年4个月,2016/8/1,2019/12/6,文娱传媒,北京,尚未获投
催单侠,存活3年7个月,2016/5/1,2019/12/6,金融,北京,尚未获投
66小区,存活5年2个月,2014/10/1,2019/12/6,本地生活,上海,天使轮
盈途教育,存活5年6个月,2014/6/1,2019/12/5,教育,广东,战略投资
磐羽软件,存活5年7个月,2014/5/1,2019/12/5,企业服务,江苏,不明确
数成科技,存活3年7个月,2016/5/1,2019/12/5,房产服务,福建,尚未获投
好外教网,存活6年4个月,2013/8/1,2019/12/5,教育,北京,天使轮
ABC模板商城,存活5年7个月,2014/5/1,2019/12/5,企业服务,广东,尚未获投
Buy for me白富美海淘,存活4年11个月,2015/1/1,2019/12/5,电子商务,北京,天使轮
Hubblo VR,存活4年4个月,2015/8/1,2019/12/5,智能硬件,上海,天使轮
租租白卡,存活2年11个月,2017/1/1,2019/12/5,电子商务,广东,尚未获投
博达惠恩,存活17年6个月,2002/6/1,2019/12/5,企业服务,北京,不明确
水牛花,存活1年2个月,2018/10/1,2019/12/5,金融,浙江,尚未获投
绿博天成,存活9年4个月,2010/8/1,2019/12/5,企业服务,北京,尚未获投
奶糖APP,存活3年1个月,2016/11/1,2019/12/5,文娱传媒,北京,天使轮
品购特卖,存活3年11个月,2016/1/1,2019/12/5,电子商务,江苏,尚未获投
WeTalk,存活2年11个月,2017/1/1,2019/12/5,广告营销,上海,天使轮
卡扎伊,存活11年1个月,2008/11/1,2019/12/5,电子商务,广东,尚未获投
分期专家,存活4年6个月,2015/6/1,2019/12/5,金融,吉林,尚未获投
外秀通达,存活8年10个月,2011/2/1,2019/12/5,企业服务,北京,尚未获投
好运通,存活7年4个月,2012/8/1,2019/12/5,本地生活,四川,尚未获投
双燊商城,存活4年5个月,2015/7/1,2019/12/4,电子商务,上海,尚未获投
爱小小,存活5年0个月,2014/12/1,2019/12/4,电子商务,北京,A+轮
A-SPARK,存活4年2个月,2015/10/1,2019/12/4,文娱传媒,北京,尚未获投
话莓轻聊,存活2年2个月,2017/10/1,2019/12/4,医疗健康,上海,尚未获投
最酷网,存活5年3个月,2014/9/1,2019/12/4,企业服务,广东,天使轮
尚亿业居,存活5年8个月,2014/4/1,2019/12/4,企业服务,河北,不明确
蜂蜂网,存活11年5个月,2008/7/1,2019/12/4,教育,上海,不明确
浩瀚汇通,存活2年10个月,2017/2/1,2019/12/4,金融,广东,尚未获投
金孩宝贝,存活3年7个月,2016/5/1,2019/12/4,医疗健康,上海,尚未获投
来宝文化,存活2年1个月,2017/11/1,2019/12/4,电子商务,广东,A轮
飞雨游戏,存活5年3个月,2014/9/1,2019/12/4,游戏,广东,A轮
麦芒信用管家,存活2年1个月,2017/11/1,2019/12/4,金融,新疆,尚未获投
鼎立万坤,存活7年8个月,2012/4/1,2019/12/4,企业服务,北京,不明确
杭州掌康科技,存活6年3个月,2013/9/1,2019/12/4,医疗健康,浙江,Pre-A轮
食在有趣,存活4年6个月,2015/6/1,2019/12/3,本地生活,浙江,A轮
马上筹,存活4年7个月,2015/5/1,2019/12/3,企业服务,广东,尚未获投
恒联爱康,存活8年0个月,2011/12/1,2019/12/3,医疗健康,内蒙古,尚未获投
时代无忧,存活2年8个月,2017/4/1,2019/12/3,金融,重庆,尚未获投
我是主厨,存活6年2个月,2013/10/1,2019/12/3,本地生活,江苏,尚未获投
1024CoderX,存活1年9个月,2018/3/1,2019/12/3,教育,重庆,天使轮
达人酷,存活4年5个月,2015/7/1,2019/12/3,企业服务,广东,不明确
看门狗互联财富,存活4年8个月,2015/4/1,2019/12/3,金融,广东,尚未获投
进包网,存活7年7个月,2012/5/1,2019/12/3,电子商务,河北,尚未获投
谁有空,存活4年7个月,2015/5/1,2019/12/3,社交网络,四川,天使轮
蓝筱玉美学频道,存活2年8个月,2017/4/1,2019/12/3,文娱传媒,浙江,尚未获投
自由魔卡,存活1年3个月,2018/9/1,2019/12/3,金融,江苏,尚未获投
e云贷,存活5年11个月,2014/1/1,2019/12/2,金融,北京,不明确
家图互动,存活5年4个月,2014/8/1,2019/12/2,电子商务,北京,A轮
北京黑格科技,存活4年10个月,2015/2/1,2019/12/2,企业服务,北京,Pre-A轮
殿元教育,存活5年3个月,2014/9/1,2019/12/2,企业服务,浙江,天使轮
智叶科技,存活8年0个月,2011/12/1,2019/12/2,本地生活,北京,尚未获投
星辉股票,存活2年7个月,2017/5/1,2019/12/2,金融,浙江,尚未获投
熹源,存活7年11个月,2012/1/1,2019/12/2,企业服务,广东,天使轮
稻芒数据,存活1年11个月,2018/1/1,2019/12/2,企业服务,浙江,尚未获投
深潜教育,存活4年9个月,2015/3/1,2019/12/2,教育,广东,A轮
简店,存活2年7个月,2017/5/1,2019/12/2,企业服务,浙江,尚未获投
RIBX肋骨科技,存活6年9个月,2013/3/1,2019/12/2,智能硬件,香港,不明确
证大财富,存活8年2个月,2011/10/1,2019/12/2,金融,上海,尚未获投
康得复材,存活5年3个月,2014/9/1,2019/12/2,新工业,河北,B轮
微财网,存活6年2个月,2013/9/1,2019/11/30,社交网络,上海,天使轮
易保险,存活5年4个月,2014/7/1,2019/11/29,汽车交通,北京,A轮
易伽科技,存活4年9个月,2015/2/1,2019/11/29,体育运动,北京,不明确
小盒淘,存活2年2个月,2017/9/1,2019/11/29,本地生活,北京,天使轮
随手攒,存活4年1个月,2015/10/1,2019/11/29,金融,北京,天使轮
引航电商,存活5年6个月,2014/5/1,2019/11/29,电子商务,北京,尚未获投
牛比特,存活2年5个月,2017/6/1,2019/11/29,金融,北京,尚未获投
有贝汇金,存活5年1个月,2014/10/1,2019/11/29,金融,广东,尚未获投
随手玩网络,存活4年2个月,2015/9/1,2019/11/29,游戏,江西,尚未获投
钰壳网络,存活3年5个月,2016/6/1,2019/11/29,企业服务,上海,天使轮
萃艺林,存活6年1个月,2013/10/1,2019/11/29,电子商务,山东,尚未获投
花花有钱,存活4年1个月,2015/10/1,2019/11/28,金融,北京,尚未获投
车飞贷,存活2年9个月,2017/2/1,2019/11/28,汽车交通,广东,不明确
趁早学,存活5年1个月,2014/10/1,2019/11/28,教育,湖南,尚未获投
深圳库博,存活8年3个月,2011/8/1,2019/11/28,企业服务,广东,尚未获投
